Date,Price
5/1/2013,32.93
6/1/2013,34.92
7/1/2013,34.75
8/1/2013,32.06
9/1/2013,31.75
10/1/2013,33.35
11/1/2013,35.67
12/1/2013,38.09
1/1/2014,37.35
2/1/2014,37.74
3/1/2014,37.92
4/1/2014,41.15
5/1/2014,40.24
6/1/2014,40.95
7/1/2014,41.86
8/1/2014,43.21
9/1/2014,45.43
10/1/2014,46.27
11/1/2014,46.89
12/1/2014,47.88
1/1/2015,46.66
2/1/2015,40.59
3/1/2015,43.67
4/1/2015,40.6
5/1/2015,48.58
6/1/2015,47.06
7/1/2015,44.46
8/1/2015,46.98
9/1/2015,42.17
10/1/2015,44.75
11/1/2015,52.85
12/1/2015,54.41
1/1/2016,54.32
2/1/2016,54.88
3/1/2016,50.97
4/1/2016,55.05
5/1/2016,50
6/1/2016,52.44
7/1/2016,51.13
8/1/2016,56.6
9/1/2016,57.01
10/1/2016,57.41
11/1/2016,59.97
12/1/2016,60.11
1/1/2017,62.79
2/1/2017,64.36
3/1/2017,64.13
4/1/2017,65.81
5/1/2017,68.68
6/1/2017,70.24
7/1/2017,69.33
8/1/2017,73.1
9/1/2017,74.71
10/1/2017,74.71
11/1/2017,83.68
12/1/2017,83.6
1/1/2018,86.13
2/1/2018,94.79
3/1/2018,93.99
4/1/2018,90.47
5/1/2018,93.21
6/1/2018,99.28
7/1/2018,98.1
8/1/2018,106.03
9/1/2018,110.85
10/1/2018,114.75
11/1/2018,107.05
12/1/2018,113
1/1/2019,99.55
2/1/2019,103.78
3/1/2019,112.89
4/1/2019,118.95
5/1/2019,130.53
6/1/2019,123.85
7/1/2019,136.63
8/1/2019,137
9/1/2019,136.61
10/1/2019,139.66
11/1/2019,144.26
12/1/2019,151.81
1/1/2020,158.78
2/1/2020,170.43
3/1/2020,165.31
4/1/2020,153
5/1/2020,175.8
6/1/2020,182.54
7/1/2020,203.14
8/1/2020,211.52
9/1/2020,225.51
10/1/2020,213.49
11/1/2020,204.29
12/1/2020,214.51
1/1/2021,222.53
2/1/2021,235.06
3/1/2021,235.9
4/1/2021,238.47
5/1/2021,253.4
6/1/2021,251.23
7/1/2021,269.61
8/1/2021,286.36
9/1/2021,302.87
10/1/2021,282.12
11/1/2021,331.36
12/1/2021,335.13
1/1/2022,335.35
2/1/2022,310.41
3/1/2022,296.4
4/1/2022,309.37
5/1/2022,277.71
6/1/2022,275.2
7/1/2022,256.39
8/1/2022,277.82
9/1/2022,258.87
10/1/2022,235.41
11/1/2022,234.6
12/1/2022,253.87
1/1/2023,243.08
2/1/2023,248
3/1/2023,250.76
4/1/2023,286.52
